train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/fps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate
0.9617863297462463,-4.925165176391602,0.40144410729408264,-0.1965259611606598,156,75,15.6,55,12.9878258,2,10,0.0007186849999999999
0.8077790141105652,-6.449462890625,0.23045654594898224,-1.0737539529800415,402,70,20.1,301,16.371845399999998,5,20,0.000700727
0.6324493885040283,-9.307518005371094,0.6843034029006958,-2.2010254859924316,764,68,25.466666666666665,663,26.60664866666666,11,30,0.000674301
0.48590216040611267,-13.647214889526367,0.9530500769615173,-3.3034939765930176,1190,70,29.75,1089,38.728331025,16,40,0.000643203
0.3935388922691345,-18.073383331298828,2.6715497970581055,-3.4292664527893066,1563,72,31.26,1462,44.23347702,21,50,0.0006159739999999999
0.29567334055900574,-23.515989303588867,2.153596878051758,-3.637453079223633,2140,71,35.666666666666664,2039,56.468236000000005,30,60,0.000573853
0.2110411822795868,-31.158306121826172,2.5033726692199707,-3.9573974609375,2953,66,42.18571428571428,2852,74.8551375,44,70,0.0005145039999999999
0.15619592368602753,-40.185237884521484,6.029554843902588,-3.199002265930176,3848,68,48.1,3747,91.8566748625,56,80,0.00044916899999999997
0.12263928353786469,-47.53257751464844,2.9053030014038086,-2.731508255004883,4740,69,52.666666666666664,4639,104.92806696666666,68,90,0.000384053
0.10363548994064331,-55.37578582763672,4.3646321296691895,-2.0088016986846924,5593,69,55.93,5492,113.9786972,79,100,0.000321784
0.09521191567182541,-61.28548812866211,3.2941172122955322,-1.122244119644165,6339,70,61.83,6238,129.63775614,89,110,0.00026732599999999997
0.0930708795785904,-69.20416259765625,4.635098934173584,0.81855309009552,7474,72,70.72,7373,150.00999066,103,120,0.00018447100000000002
0.0951060950756073,-73.40989685058594,11.290082931518555,-0.024797365069389343,8426,70,76.62,8325,167.19938018000002,119,130,0.00011497499999999998
0.09322993457317352,-79.92742919921875,6.405319690704346,-0.9241563081741333,9335,69,81.45,9234,181.24115739,134,140,4.8617999999999994e-05
