#{"t_start": 1692030212.690726, "env_id": "CustomHopper-source-v0"}
r,l,t
52.242651,64,2.368149
8.610556,10,2.37243
18.625616,19,2.378599
15.742224,19,3.703069
25.526327,24,4.118428
9.656944,21,4.468265
12.124523,17,4.676092
34.904367,54,5.269379
16.634935,23,5.542297
6.736209,13,5.688728
47.522203,42,6.158573
6.999165,13,6.292463
6.996551,10,6.404398
5.818616,10,6.508217
11.752663,20,6.724634
8.620709,11,6.8446
17.823746,30,7.16739
8.039529,11,7.293577
10.666137,16,7.467499
8.491551,12,7.594913
15.637911,20,7.809303
70.92521,41,8.258572
14.103781,15,8.424541
125.889761,65,9.135541
7.471936,32,9.498234
131.135178,75,10.289866
21.956861,34,10.646693
8.627788,26,10.925614
167.840116,182,12.831378
189.108622,140,14.370408
125.432871,82,15.314183
118.511892,90,16.248578
147.024592,93,17.230819
141.383156,80,18.059193
164.342908,90,18.98462
157.085326,73,19.736674
156.667223,82,20.580585
158.757934,73,21.338776
176.723097,78,22.211664
205.542954,88,23.153397
216.841856,93,24.138788
220.03247,95,25.157852
212.333108,91,26.167125
98.937092,52,26.725547
216.716486,93,27.69199
217.363059,93,28.656307
111.582694,56,29.231707
217.145184,93,30.236241
94.288733,50,30.794676
89.24494,48,31.292462
220.048842,95,32.274285
223.970716,98,33.319901
223.775103,98,34.322199
221.687387,96,35.326551
219.725815,96,36.311929
222.871598,97,37.402312
224.453189,97,38.841259
222.828933,98,40.100809
224.33101,98,41.482338
227.749914,100,42.688062
222.250641,97,44.026536
218.531868,95,45.323359
216.670058,96,46.807454
216.790918,95,47.992256
222.775455,97,49.262204
224.566515,97,50.612131
224.316643,98,51.968967
227.105283,100,53.354733
221.945713,98,54.547501
218.902696,97,55.720492
224.38103,102,57.105329
220.375212,98,58.369352
220.949907,97,59.766842
219.54915,96,61.007314
222.546012,97,62.383098
222.912761,97,63.683361
218.442808,97,64.992384
227.310987,101,66.474464
226.372461,98,67.753019
224.275518,99,69.068255
219.512331,95,70.38984
216.586181,93,71.672533
225.128752,99,73.04722
220.744695,96,74.332635
220.304258,96,75.599877
223.626416,98,76.874488
221.505436,96,78.115297
212.404375,92,79.349563
214.322552,94,80.692086
212.165047,89,81.907357
217.659066,94,83.041098
231.043667,104,84.354769
223.476988,101,85.640133
213.874183,94,86.817317
221.605413,99,88.070404
213.404652,91,89.274391
222.72856,100,90.54675
216.957424,95,91.759995
217.803019,96,93.018884
218.13796,95,94.586047
218.05979,93,95.833882
211.983723,90,97.203579
216.031513,92,98.450633
211.411051,90,99.664637
215.074571,92,100.907432
221.600907,96,102.214902
230.486876,102,103.520798
216.420201,92,104.614819
214.722587,91,105.885432
225.984381,99,107.116704
216.406276,92,108.371833
218.496149,94,109.454921
216.307784,92,110.616067
226.632378,100,111.814957
226.148222,99,113.073867
226.24697,100,114.412164
227.01313,100,115.775749
180.489745,88,116.881187
228.106229,100,118.112015
223.226448,97,119.52648
226.863032,101,120.901922
232.121044,103,122.383206
180.547723,92,123.691917
229.30402,103,125.010061
187.052109,89,126.143817
