time/total_timesteps,train/critic_loss,time/episodes,time/time_elapsed,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/fps,train/actor_loss
264,0.3382648229598999,10,3,0.890346109867096,-0.5837084650993347,20.080435200000004,0.000710801,163,26.4,78,-5.718103408813477
439,0.2755793333053589,20,5,0.787339985370636,-1.2005130052566528,16.676761100000004,0.000698026,338,21.95,83,-6.575852870941162
1069,0.2696385383605957,30,12,0.5208809971809387,-2.9434094429016113,36.2077462,0.0006520359999999999,968,35.63333333333333,88,-11.75168228149414
1898,1.27774178981781,40,20,0.32402873039245605,-4.434121131896973,65.942608475,0.000591519,1797,47.45,91,-20.699935913085938
2662,2.269381046295166,50,28,0.22563935816287994,-4.678763389587402,86.64379922,0.0005357469999999999,2561,53.24,91,-27.515165328979492
3635,7.265265464782715,60,40,0.1570318639278412,-3.279247999191284,109.39387446666665,0.00046471800000000003,3534,60.583333333333336,90,-38.063777923583984
4605,5.102417945861816,70,53,0.11894836276769638,-2.9536242485046387,125.3926894,0.00039390800000000005,4504,65.78571428571429,86,-47.232398986816406
5587,5.4056501388549805,80,66,0.09663043171167374,-2.293701410293579,137.5575513,0.000322222,5486,69.8375,83,-57.186431884765625
6535,23.166263580322266,90,79,0.08403971791267395,-0.8032469153404236,146.56560163333336,0.000253018,6434,72.61111111111111,82,-64.26838684082031
7504,3.9898478984832764,100,92,0.0782528668642044,-0.8619042038917542,153.87595079000002,0.000182281,7403,75.04,81,-71.43091583251953
8441,22.980995178222656,110,104,0.0759289339184761,-0.3945808708667755,173.68566327,0.00011388000000000001,8340,81.77,80,-77.57577514648438
9403,55.13593673706055,120,117,0.07392283529043198,-0.3745841979980469,194.24908788000002,4.365399999999997e-05,9302,89.64,80,-82.73410034179688
