#{"t_start": 1692134509.9623537, "env_id": "CustomHopper-target-v0"}
r,l,t
13.353415,16,0.957746
7.056482,17,2.162659
17.04482,25,3.430517
26.278279,23,4.863183
7.531649,11,5.431508
10.546723,14,6.077849
6.685243,19,7.306107
16.511964,36,9.415225
66.860471,41,11.848738
35.479035,37,13.757089
96.797612,65,16.712995
19.467985,20,17.694677
32.309964,35,19.088365
146.772777,78,23.293314
24.769829,24,24.819566
136.979883,72,28.596486
52.94259,32,30.031566
171.062481,90,33.738823
13.849295,33,34.853612
152.597893,96,38.174244
58.394461,34,39.251304
55.233902,41,40.720126
63.565942,52,42.6494
53.931214,33,43.62339
54.071616,33,44.618965
111.049722,60,49.421806
126.516707,69,53.825398
132.26395,70,57.740448
201.840645,90,62.843484
184.681504,84,67.312837
206.491781,97,72.754657
187.1073,85,77.600558
185.010343,84,82.09832
182.695954,85,87.204564
174.83214,84,91.820768
198.775088,94,97.182364
196.747567,92,103.154924
183.111299,84,109.02161
181.847003,84,113.770289
181.888769,85,118.882668
208.516878,91,124.068075
199.69696,88,129.501616
195.456373,89,134.885109
177.663103,86,139.655248
197.441012,89,145.785154
188.924382,86,153.405859
179.963062,88,161.029588
305.933779,115,170.412625
230.634381,95,178.74543
227.797565,99,185.719576
296.410409,108,194.316656
286.258644,124,205.197379
316.47968,129,216.930735
269.692523,110,226.749836
290.248764,115,235.628801
310.237749,131,244.907633
304.554,119,253.436984
323.876954,130,263.845437
326.836107,127,273.740087
337.805627,126,284.395164
304.621742,120,293.919995
327.683192,127,303.07551
323.159852,122,311.448073
306.240747,117,319.617042
279.32823,111,327.330721
