rollout/ep_len_mean,time/episodes,train/ent_coef,train/actor_loss,train/critic_loss,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,rollout/ep_rew_mean,train/n_updates,time/fps,train/learning_rate
18.2,10,0.9862188696861267,-5.1326093673706055,1.7122931480407715,1,310,-0.07007035613059998,16.5010688,20,191,0.00073
19.0,20,0.9726307988166809,-4.887051105499268,0.6775795221328735,2,500,-0.13991287350654602,16.78232145,39,178,0.00073
19.466666666666665,30,0.9578309059143066,-5.078961372375488,0.6520171165466309,3,710,-0.21738305687904358,17.175290733333334,60,203,0.00073
19.75,40,0.946008026599884,-5.2832794189453125,0.4691687822341919,4,880,-0.2787950932979584,18.110368424999997,77,197,0.00073
19.176470588235293,50,0.9336447715759277,-5.446873188018799,0.3751782476902008,5,1060,-0.34342721104621887,17.33893705882353,95,190,0.00073
19.442622950819672,60,0.9187555313110352,-5.576646327972412,0.45860224962234497,6,1280,-0.4290711283683777,17.06655622950819,117,186,0.00073
19.52857142857143,70,0.9014549255371094,-5.681536674499512,0.41553542017936707,8,1540,-0.525501012802124,16.67738391428571,143,180,0.00073
20.4625,80,0.8870834708213806,-5.73886775970459,0.4198397397994995,9,1760,-0.6022650003433228,18.2018186625,165,183,0.00073
20.92222222222222,90,0.8665972352027893,-6.207679748535156,0.3527868390083313,11,2080,-0.7159071564674377,19.005511999999996,197,182,0.00073
22.66,100,0.8453724384307861,-6.390318870544434,0.42699480056762695,13,2420,-0.840315580368042,21.170994580000002,231,177,0.00073
23.42,110,0.8301080465316772,-6.678317546844482,0.368736207485199,14,2670,-0.9328454732894897,22.10603052,256,182,0.00073
24.67,120,0.8062690496444702,-6.753217697143555,0.5713289976119995,16,3070,-1.0795905590057373,23.65489126,296,188,0.00073
25.86,130,0.7929100394248962,-7.024659156799316,0.7658014297485352,17,3300,-1.1705578565597534,25.383943950000006,319,187,0.00073
27.22,140,0.7713032364845276,-7.231411457061768,0.5303201675415039,19,3680,-1.306413173675537,26.488197099999997,357,193,0.00073
28.83,150,0.7459739446640015,-7.776191711425781,0.4494485855102539,21,4140,-1.451561450958252,27.75323049,403,192,0.00073
31.2,160,0.7225615978240967,-7.927998065948486,0.7648586630821228,23,4580,-1.6143717765808105,32.22699609,447,191,0.00073
33.86,170,0.6989219784736633,-8.42861557006836,0.7438988089561462,26,5040,-1.7801977396011353,37.18628078,493,189,0.00073
35.66,180,0.6674425005912781,-8.638574600219727,0.6253273487091064,29,5680,-1.9922921657562256,40.33564572,557,191,0.00073
40.1,190,0.6320263743400574,-9.48057746887207,1.4661234617233276,32,6440,-2.222773790359497,45.26300059000001,633,196,0.00073
43.48,200,0.6107518672943115,-9.65932559967041,0.8099767565727234,34,6920,-2.320608377456665,49.58002513,681,200,0.00073
47.44,210,0.5852533578872681,-10.46117115020752,1.281890869140625,36,7520,-2.57763671875,56.17762639999999,741,205,0.00073
49.96,220,0.5628774166107178,-11.073141098022461,1.1961851119995117,38,8070,-2.7638869285583496,62.686318010000015,796,210,0.00073
51.68,230,0.5392524003982544,-11.989151000976562,0.8481993079185486,40,8680,-2.9715161323547363,67.25178698999999,857,214,0.00073
54.73,240,0.5133894085884094,-12.343870162963867,0.892675518989563,42,9380,-3.1010749340057373,74.61287376000001,927,218,0.00073
57.43,250,0.4995906352996826,-12.958320617675781,0.6635946035385132,44,9770,-3.317941427230835,82.30443951,966,221,0.00073
60.86,260,0.46843403577804565,-13.798633575439453,1.910738229751587,51,10700,-3.471494436264038,91.02450863000004,1059,208,0.00073
64.58,270,0.4404202997684479,-14.340546607971191,1.6866120100021362,56,11600,-3.6968414783477783,102.10227291000001,1149,204,0.00073
68.78,280,0.41235873103141785,-15.896970748901367,0.7161890268325806,61,12570,-3.689729690551758,113.59857017,1246,203,0.00073
70.8,290,0.38958388566970825,-16.606754302978516,2.506226062774658,66,13420,-3.9060423374176025,125.37673122,1331,201,0.00073
72.45,300,0.36864081025123596,-17.388137817382812,0.8078122735023499,71,14260,-4.1600022315979,135.99685722,1415,200,0.00073
74.64,310,0.3494049906730652,-18.41510581970215,1.6233489513397217,75,15090,-4.135440349578857,145.42996312999998,1498,199,0.00073
77.33,320,0.330386757850647,-19.67531967163086,2.2050719261169434,80,15960,-4.306378364562988,153.94985418,1585,198,0.00073
81.1,330,0.3122495412826538,-20.85881805419922,2.1776351928710938,85,16840,-4.352880477905273,164.51998484,1673,196,0.00073
83.59,340,0.2947065234184265,-21.186399459838867,2.785829782485962,90,17750,-4.881128311157227,172.90999303999996,1764,195,0.00073
86.46,350,0.2784639596939087,-22.23525047302246,1.288348913192749,96,18660,-4.494368076324463,181.82454843,1855,194,0.00073
87.6,360,0.2624707520008087,-23.229185104370117,4.271063327789307,102,19620,-4.488940238952637,186.25301758999998,1951,192,0.00073
88.12,370,0.2492409646511078,-24.299396514892578,3.187082052230835,107,20470,-5.416572093963623,187.97446065000003,2036,189,0.00073
87.92,380,0.23688924312591553,-24.830970764160156,2.9948513507843018,112,21290,-5.549351692199707,189.04918487000003,2118,188,0.00073
87.61,390,0.22479332983493805,-26.433456420898438,4.3705291748046875,117,22130,-5.47458553314209,188.57310681,2202,187,0.00073
87.44,400,0.21310847997665405,-27.24857521057129,3.1312947273254395,122,22990,-5.5191240310668945,188.42106289,2288,187,0.00073
87.69,410,0.2016633003950119,-28.53729248046875,2.631986618041992,127,23870,-5.204824447631836,189.63429952999996,2376,186,0.00073
88.42,420,0.190061554312706,-28.71161651611328,6.637320041656494,133,24850,-5.689276695251465,192.35240734,2474,185,0.00073
88.8,430,0.1796504259109497,-29.727558135986328,3.5523180961608887,139,25760,-5.654712200164795,194.09522688,2565,185,0.00073
88.81,440,0.16984398663043976,-30.388687133789062,3.7456464767456055,145,26670,-6.244826316833496,195.13515375999998,2656,183,0.00073
89.36,450,0.16018572449684143,-32.0264778137207,4.613463878631592,153,27620,-5.586888313293457,197.83389336,2751,179,0.00073
89.8,460,0.1513611525297165,-32.61683654785156,5.248878479003906,161,28550,-6.138317108154297,200.35321906999997,2844,177,0.00073
91.11,470,0.14222873747348785,-34.40292739868164,2.9283361434936523,170,29610,-5.695556640625,206.01059415,2950,173,0.00073
92.59,480,0.1340300589799881,-34.36793518066406,3.507641315460205,179,30610,-5.220671653747559,211.88687546,3050,171,0.00073
94.1,490,0.1266355663537979,-35.87161636352539,3.541020393371582,186,31620,-5.637743949890137,217.86639735999998,3151,169,0.00073
96.23,500,0.11866618692874908,-37.167938232421875,5.086745738983154,196,32810,-4.557332992553711,225.85503987,3270,167,0.00073
99.07,510,0.11173318326473236,-38.48118591308594,3.7180800437927246,205,33930,-5.469577312469482,236.36108574000002,3382,164,0.00073
101.45,520,0.10517601668834686,-38.98595428466797,14.0065279006958,215,35050,-4.85640811920166,244.53880217000003,3494,162,0.00073
103.68,530,0.09946534782648087,-40.50193786621094,6.194125652313232,225,36150,-4.504688739776611,251.60983662,3604,160,0.00073
106.08,540,0.09356227517127991,-41.88386535644531,14.24721908569336,235,37340,-5.0208306312561035,259.81781694999995,3723,158,0.00073
108.96,550,0.08793032914400101,-43.46324157714844,5.083991050720215,244,38630,-4.940493583679199,268.09723933000004,3852,158,0.00073
112.01,560,0.08295611292123795,-44.397361755371094,3.144932985305786,252,39860,-3.418950080871582,277.2288239,3975,157,0.00073
114.3,570,0.07827410101890564,-46.268150329589844,5.9495530128479,263,41160,-3.8440921306610107,283.31782169999997,4105,156,0.00073
116.66,580,0.07428954541683197,-47.829769134521484,2.7927021980285645,273,42420,-4.7075371742248535,289.31924953,4231,155,0.00073
119.05,590,0.07054977118968964,-47.65608215332031,7.077269554138184,283,43680,-4.253725528717041,295.56940302,4357,153,0.00073
120.34,600,0.06717143952846527,-50.16767120361328,3.2081217765808105,293,44870,-2.757030963897705,299.17531575,4476,152,0.00073
120.78,610,0.06425909698009491,-50.45677947998047,4.9182963371276855,302,46110,-2.064422130584717,299.58265933999996,4600,152,0.00073
121.51,620,0.06174265220761299,-51.63597869873047,7.635669231414795,310,47290,-2.591618061065674,302.43911176999995,4718,152,0.00073
122.14,630,0.05977252125740051,-52.949153900146484,5.413785934448242,318,48460,-2.5441603660583496,306.09173236000004,4835,152,0.00073
122.58,640,0.05760260298848152,-55.24479293823242,5.625913619995117,326,49630,-1.2128489017486572,308.76040136000006,4952,151,0.00073
