#{"t_start": 1686390606.0804427, "env_id": "CustomHopper-target-v0"}
r,l,t
365.938356,160,8.479101
348.09482,169,8.703968
373.676431,180,8.979357
366.855806,165,9.182697
370.503263,159,9.406803
376.995777,184,9.683579
345.624712,164,9.923486
369.266518,170,10.185038
377.470445,178,10.465529
365.840092,161,10.696917
377.118937,179,10.97672
367.945337,162,11.23378
363.224349,163,11.446885
380.19036,174,11.695009
365.665881,174,11.916412
365.907963,162,12.122262
372.18311,171,12.364974
375.451584,174,12.599433
371.545868,159,12.821631
367.857268,164,13.031553
376.223222,177,13.262492
380.603796,182,13.501846
371.006268,172,13.732032
364.186968,164,13.947753
366.304692,160,14.141013
382.478948,177,14.378404
366.704605,158,14.588436
379.068254,186,14.835528
366.881552,175,15.070872
367.667478,168,15.290878
375.415629,170,15.513852
345.009226,164,15.729511
390.265333,181,15.960549
373.544289,177,16.175291
365.019089,161,16.39187
367.656137,162,16.619721
363.185389,163,16.831251
367.81987,163,17.045392
363.937309,164,17.258897
366.807007,171,17.514631
364.843631,165,17.740069
378.025798,185,17.981684
368.63765,177,18.227052
373.812059,179,18.476764
361.749912,163,18.682401
364.758287,160,18.912486
377.175594,184,19.155957
376.662347,177,19.379456
364.830875,164,19.592136
368.968444,160,19.803828
